Year,Name,BA,H,2B,3B,HR,BB,SB,Position
2021,Nolan Arenado,0.255,151,34,3,34,50,2,Hitter
2021,Ozzie Albies,0.259,163,40,7,30,47,20,Hitter
2021,Paul Goldschmidt,0.294,177,36,2,31,67,12,Hitter
2021,Pavin Smith,0.267,133,27,4,11,42,1,Hitter
2021,Pete Alonso,0.262,147,27,3,37,60,3,Hitter
2021,Rafael Devers,0.279,165,37,1,38,62,5,Hitter
2021,Raimel Tapia,0.273,133,26,2,6,40,20,Hitter
2021,Randal Grichuk,0.241,123,25,1,22,27,0,Hitter
2021,Randy Arozarena,0.274,145,32,3,20,56,20,Hitter
2021,Robbie Grossman,0.239,133,23,3,23,98,20,Hitter
2021,Ryan McMahon,0.254,134,32,1,23,59,6,Hitter
2021,Ryan Mountcastle,0.255,136,23,1,33,41,4,Hitter
2021,Salvador Perez,0.273,169,24,0,48,28,1,Hitter
2021,Shohei Ohtani,0.257,138,26,8,46,96,26,Hitter
2021,Starling Marte,0.31,145,27,3,12,43,47,Hitter
2021,Teoscar Hernandez,0.296,163,29,0,32,36,12,Hitter
2021,Tim Anderson,0.309,163,29,2,17,22,18,Hitter
2021,Tommy Edman,0.262,168,41,3,11,38,30,Hitter
2021,Tommy Pham,0.229,109,24,2,15,78,14,Hitter
2021,Trea Turner,0.328,195,34,3,28,41,32,Hitter
2021,Trent Grisham,0.242,112,28,3,15,54,13,Hitter
2021,Trevor Story,0.251,132,34,5,24,53,20,Hitter
2021,Trey Mancini,0.255,142,33,1,21,51,0,Hitter
2021,Ty France,0.291,166,32,1,18,46,0,Hitter
2021,Tyler O'Neill,0.286,138,26,2,34,38,15,Hitter
2021,Vladimir Guerrero Jr.,0.311,188,29,1,48,86,4,Hitter
2021,Whit Merrifield,0.277,184,42,3,10,40,40,Hitter
2021,Willy Adames,0.262,130,32,1,25,57,5,Hitter
2021,Xander Bogaerts,0.295,156,34,1,23,62,5,Hitter
2021,Yandy Diaz,0.256,119,20,1,13,69,1,Hitter
2021,Yoan Moncada,0.263,137,33,1,14,84,3,Hitter
2021,Yordan Alvarez,0.277,149,35,1,33,50,1,Hitter
2021,Yuli Gurriel,0.319,169,31,0,15,59,1,Hitter
